hhno	Pregnancy_in_household	Child(ren)_under_2
209357	No	No
209358	No	No
209359	No	No
209360	No	No
209361	No	No
209362	No	No
209363	Yes	No
209364	No	No
209365	No	No
209366	No	No
209367	No	No
209368	No	No
209369	No	No
209370	No	No
209371	No	No
209372	No	No
209373	No	No
209374	No	No
209375	No	No
209376	No	No
209377	No	No
209378	No	No
209379	No	No
209380	No	No
209381	No	No
209382	No	Yes
209383	No	No
209384	No	No
209385	No	No
209386	No	No
209387	No	No
209388	No	No
209389	No	No
209390	No	No
209391	No	No
209392	No	No
209393	No	No
209394	No	No
209395	No	No
209396	No	No
209397	No	No
209398	No	No
209399	No	No
209400	No	No
209401	No	No
209402	No	No
209403	No	No
209404	No	No
209405	No	No
209406	No	No
209407	No	No
209408	No	No
209409	No	No
209410	No	No
209411	No	No
209412	No	No
209413	No	No
209414	No	No
209415	No	No
209416	No	No
209417	No	Yes
209418	No	No
209419	No	No
209420	No	No
209421	No	Yes
209422	No	No
209423	No	Yes
209424	No	No
209425	No	No
209426	No	No
209427	No	No
209428	No	No
209429	No	No
209430	No	Yes
209431	No	No
209432	No	No
209433	No	No
209434	No	No
209435	No	No
209436	No	No
209437	No	No
209438	No	No
209439	Yes	No
209440	No	No
209441	No	No
209442	No	Yes
209443	No	No
209444	No	No
209445	No	Yes
209446	No	No
209447	No	No
209448	No	No
209449	No	No
209450	No	Yes
209451	No	No
209452	No	No
209453	No	No
209454	No	No
209455	No	No
209456	No	No
209457	No	No
209458	No	No
209459	No	No
209460	No	No
209461	No	No
209462	No	No
209463	No	No
209464	No	No
209465	No	No
209466	No	No
209467	No	No
209468	No	No
209469	No	No
209470	No	No
209471	No	No
209472	No	No
209473	No	No
209474	No	No
209475	No	No
209476	No	No
209477	No	No
209478	No	No
209479	No	No
209480	No	No
209481	No	No
209482	No	No
209483	No	Yes
209484	No	No
209485	No	No
209486	No	No
209487	No	No
209488	No	No
209489	No	No
209490	No	No
209491	No	No
209492	No	No
209493	No	No
209494	No	No
209495	No	No
209496	No	No
209497	No	No
209498	No	No
209499	No	No
209500	No	No
209501	No	No
209502	No	No
209503	No	No
209504	No	No
209505	No	No
209506	No	No
209507	No	No
209508	No	No
209509	No	No
209510	No	No
209511	No	No
209512	No	No
209513	No	No
209514	No	No
209515	No	No
209516	No	No
209517	No	Yes
209518	No	Yes
209519	No	No
209520	No	No
209521	No	No
209522	No	No
209523	No	No
209524	No	No
209525	No	No
209526	No	No
209527	No	No
209528	No	No
209529	No	No
209530	No	No
209531	No	No
209532	No	No
209533	No	No
209534	No	No
209535	No	No
209536	No	No
209537	No	No
209538	No	No
209539	No	No
209540	No	No
209541	No	No
209542	No	No
209543	No	No
209544	No	Yes
209545	No	No
209546	No	Yes
209547	No	No
209548	No	No
209549	No	No
209550	No	No
209551	No	No
209552	No	No
209553	No	No
209554	No	No
209555	No	No
209556	No	No
209557	No	No
209558	No	No
209559	No	Yes
209560	No	No
209561	No	No
209562	No	No
209563	No	No
209564	No	No
209565	No	No
