hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110512	7	2	1	9995		0	10
110512	8	2	0	9995		0	4
110512	9	1	0	9995		0	5
110513	2	2	0	9995		0	42
110516	4	1	0	9995		0	17
110516	5	2	0	9995		0	47
110516	6	2	1	9985		0	9
110516	7	1	1	9985		0	9
110517	2	1	0	9995		0	10
110517	3	2	0	9995		0	8
110518	4	1	0	9995		0	9
110518	5	2	0	9995		0	9
110518	6	1	1	9985		0	9
110518	7	1	1	9985		0	9
110521	5	1	1	9985		0	5
110521	6	1	1	9985		0	5
110533	3	1	0	9995		0	29
110533	4	2	0	9995		0	10
110533	5	1	1	9985		0	10
110534	3	1	1	9995		0	42
110536	6	1	0	9995		0	80
110536	7	2	0	9995		0	80
110536	8	1	1	9985		0	16
110537	6	2	0	9995		0	47
110538	5	1	0	9995		0	10
110539	4	2	1	9985		0	2
110539	5	2	0	9995		0	11
110541	5	2	0	9995		0	14
110541	6	1	0	9995		0	4
110542	5	2	1	9985		0	19
110543	3	1	0	9995		0	2
110544	4	1	0	9995		0	12
110545	6	2	0	9995		0	4
110550	5	1	0	9995		0	7
110550	6	2	0	9995		0	7
110555	2	1	0	9995		0	7
110555	3	2	0	9995		0	7
110562	4	1	1	9985		0	18
110562	5	1	0	9995		0	12
110562	6	2	0	9995		0	10
110563	2	2	0	9995		0	10
110565	2	2	0	9995		0	22
110565	3	1	0	9995		0	5
110565	4	1	1	9985		0	5
110567	4	1	0	9995		0	5
110567	5	2	0	9995		0	5
110576	3	2	0	9995		0	10
110577	5	1	0	9995		0	25
110577	6	2	0	9995		0	21
110578	3	2	0	9995		0	4
110578	4	1	0	9995		0	4
110578	5	1	1	9985		0	4
110579	4	2	0	9995		0	38
110581	3	2	0	9995		0	4
110582	2	2	0	9995		0	4
110583	3	2	1	9985		0	41
110583	4	2	0	9995		0	35
110585	5	2	0	9995		0	10
110586	3	2	0	9995		0	14
110586	4	1	0	9995		0	14
110587	5	2	1	9985		0	22
110587	6	2	0	9995		0	5
110587	7	1	0	9995		0	5
110587	8	2	1	9985		0	5
110587	9	1	1	9985		0	5
110587	10	1	1	9985		0	5
110592	5	1	0	9995		0	41
110592	6	2	0	9995		0	22
110592	7	2	1	9985		0	14
110592	8	2	1	9985		0	7
110592	9	1	1	9985		0	4
110594	4	1	1	9995		0	2
110596	3	2	0	9995		0	31
110596	4	1	0	9995		0	10
110597	4	1	0	9995		0	24
110597	5	2	1	9985		0	4
110597	6	1	1	9985		0	9
110598	4	1	0	9995		0	7
